"ID","Title","Series","Year","Medium","Width","Height","Orientation","Price","Availability","Tags","Description","CoverImage","Image2","Image3","Image4","Image5"
"A006","Nr. 6","","","","","","","2000.00","Archived","","610 x 940 mm unframed monotype print signed on back. To be displayed on the website of Pixel Aura for sale 24 June - 24 July","images/artworks/nr-006-1.jpg","images/artworks/nr-006-2.jpg","images/artworks/nr-006-3.jpg","images/artworks/nr-006-4.jpg",""
"A041","Nr. 41","","","","","","","500.00","Available","","610 x 940 mm unframed monotype print signed on back.","images/artworks/nr-041-1.jpg","images/artworks/nr-041-2.jpg","images/artworks/nr-041-3.jpg","images/artworks/nr-041-4.jpg",""
"A042","Nr. 42","","","","","","","1300.00","Available","","610 x 940 mm unframed monotype print signed on back.","images/artworks/nr-042-1.jpg","images/artworks/nr-042-2.jpg","images/artworks/nr-042-3.jpg","images/artworks/nr-042-4.jpg",""
"A043","Nr. 43","","","","","","","400.00","Available","","610 x 940 mm unframed monotype print signed on back.","images/artworks/nr-043-1.jpg","images/artworks/nr-043-2.jpg","images/artworks/nr-043-3.jpg","images/artworks/nr-043-4.jpg",""
"A044","Nr. 44","","","","","","","1800.00","Available","","610 x 940 mm unframed monotype print signed on back.","images/artworks/nr-044-1.jpg","images/artworks/nr-044-2.jpg","images/artworks/nr-044-3.jpg","images/artworks/nr-044-4.jpg",""
"A045","Nr. 45","","","","","","","2500.00","Available","","610 x 940 mm unframed monotype print signed on back.","images/artworks/nr-045-1.jpg","images/artworks/nr-045-2.jpg","images/artworks/nr-045-3.jpg","images/artworks/nr-045-4.jpg",""
"A046","Nr. 46","","","","","","","3600.00","Available","","610 x 940 mm unframed monotype print signed on back.","images/artworks/nr-046-1.jpg","images/artworks/nr-046-2.jpg","images/artworks/nr-046-3.jpg","images/artworks/nr-046-4.jpg",""
"A047","Nr. 47","","","","","","","700.00","Available","","610 x 940 mm unframed monotype print signed on back.","images/artworks/nr-047-1.jpg","images/artworks/nr-047-2.jpg","images/artworks/nr-047-3.jpg","images/artworks/nr-047-4.jpg",""
"A048","Nr. 48","","","","","","","100.00","Available","","610 x 940 mm unframed monotype print signed on back.","images/artworks/nr-048-1.jpg","images/artworks/nr-048-2.jpg","images/artworks/nr-048-3.jpg","images/artworks/nr-048-4.jpg",""
"A049","Nr. 49","","","","","","","300.00","Available","","610 x 940 mm unframed monotype print signed on back.","images/artworks/nr-049-1.jpg","images/artworks/nr-049-2.jpg","images/artworks/nr-049-3.jpg","images/artworks/nr-049-4.jpg",""
"A050","Nr.50","","","","","","","2000.00","Available","","610 x 940 mm unframed monotype print signed on back. To be displayed on the website of Pixel Aura for sale 24 June - 24 July","images/artworks/nr-050-1.jpg","images/artworks/nr-050-2.jpg","images/artworks/nr-050-3.jpg","images/artworks/nr-050-4.jpg",""
"A051","Nr. 51","","","","","","","200.00","Available","","610 x 940 mm unframed monotype print signed on back.","images/artworks/nr-051-1.jpg","images/artworks/nr-051-2.jpg","images/artworks/nr-051-3.jpg","images/artworks/nr-051-4.jpg",""
"A052","Nr. 52","","","","","","","1200.00","Available","","610 x 940 mm unframed monotype print signed on back.","images/artworks/nr-052-1.jpg","images/artworks/nr-052-2.jpg","images/artworks/nr-052-3.jpg","images/artworks/nr-052-4.jpg",""
"A053","Nr. 53","","","","","","","400.00","Available","","610 x 940 mm unframed monotype print signed on back.","images/artworks/nr-053-1.jpg","images/artworks/nr-053-2.jpg","images/artworks/nr-053-3.jpg","images/artworks/nr-053-4.jpg",""
"A054","Nr. 54","","","","","","","600.00","Available","","610 x 940 mm unframed monotype print signed on back.","images/artworks/nr-054-1.jpg","images/artworks/nr-054-2.jpg","images/artworks/nr-054-3.jpg","images/artworks/nr-054-4.jpg",""
"A055","Nr. 55","","","","","","","1200.00","Available","","610 x 940 mm unframed monotype print signed on back.","images/artworks/nr-055-1.jpg","images/artworks/nr-055-2.jpg","images/artworks/nr-055-3.jpg","images/artworks/nr-055-4.jpg",""
"A056","Nr. 56","","","","","","","1000.00","Available","","610 x 940 mm unframed monotype print signed on back.","images/artworks/nr-056-1.jpg","images/artworks/nr-056-2.jpg","images/artworks/nr-056-3.jpg","images/artworks/nr-056-4.jpg",""
"A057","Nr. 57","","","","","","","500.00","Available","","610 x 940 mm unframed monotype print signed on back.","images/artworks/nr-057-1.jpg","images/artworks/nr-057-2.jpg","images/artworks/nr-057-3.jpg","images/artworks/nr-057-4.jpg",""
"A058","Nr. 58","","","","","","","800.00","Available","","610 x 940 mm unframed monotype print signed on back.","images/artworks/nr-058-1.jpg","images/artworks/nr-058-2.jpg","images/artworks/nr-058-3.jpg","images/artworks/nr-058-4.jpg",""
"A059","Nr. 59","","","","","","","600.00","Available","","610 x 940 mm unframed monotype print signed on back.","images/artworks/nr-059-1.jpg","images/artworks/nr-059-2.jpg","images/artworks/nr-059-3.jpg","images/artworks/nr-059-4.jpg",""
